GeoID,Years,GeoType,TotalPop,PctRural,PctMinority,PctHispanic,PctBlackNH,PctAPINH,Pct_forborn,PctDisabled,PctEducLHS,PctEducBchPlus,Pct100Pov,PctNoHealthIns
A9002za,10yrs,Zone,61133,0.09,40.44,8.56,3.06,26.11,33.04,4.54,6.11,55.88,4.44,5.02
A9003za,01yr,Zone,55352,0.00,79.78,28.37,47.62,1.78,9.15,22.13,21.55,13.19,28.60,8.76
A9003za,05yrs,Zone,55352,0.00,79.78,28.37,47.62,1.78,9.15,22.13,21.55,13.19,28.60,8.76
A9003za,10yrs,Zone,55352,0.00,79.78,28.37,47.62,1.78,9.11,20.45,23.42,11.78,31.18,10.58
A9004za,01yr,Zone,54257,0.01,67.98,25.64,26.84,13.27,26.46,13.68,22.14,24.12,27.22,13.37
A9004za,05yrs,Zone,54257,0.01,67.98,25.64,26.84,13.27,26.46,13.68,22.14,24.12,27.22,13.37
A9004za,10yrs,Zone,54257,0.01,67.98,25.64,26.84,13.27,27.44,13.47,22.22,22.25,30.18,14.49
A9005za,01yr,Zone,67499,11.25,18.64,5.63,1.64,9.75,16.93,3.92,3.36,63.84,4.28,3.00
A9005za,05yrs,Zone,67499,11.25,18.64,5.63,1.64,9.75,16.93,3.92,3.36,63.84,4.28,3.00
A9005za,10yrs,Zone,67499,11.25,18.64,5.63,1.64,9.75,17.39,3.69,3.11,65.56,3.83,2.75
A9006za,01yr,Zone,54876,0.00,48.61,31.32,5.09,10.37,28.23,6.23,12.26,38.61,8.84,7.21
A9006za,05yrs,Zone,54876,0.00,48.61,31.32,5.09,10.37,28.23,6.23,12.26,38.61,8.84,7.21
A9006za,10yrs,Zone,54876,0.00,48.61,31.32,5.09,10.37,28.52,6.35,12.96,37.14,10.37,8.36
A9007za,01yr,Zone,52004,0.00,93.22,81.77,7.74,2.64,47.29,6.24,36.65,9.52,25.40,29.47
A9007za,05yrs,Zone,52004,0.00,93.22,81.77,7.74,2.64,47.29,6.24,36.65,9.52,25.40,29.47
A9007za,10yrs,Zone,52004,0.00,93.22,81.77,7.74,2.64,46.14,6.72,38.31,9.14,31.36,29.51
A9008za,01yr,Zone,60584,0.00,46.61,19.65,4.30,20.72,33.57,6.05,7.18,45.42,5.85,7.45
A9008za,05yrs,Zone,60584,0.00,46.61,19.65,4.30,20.72,33.57,6.05,7.18,45.42,5.85,7.45
A9008za,10yrs,Zone,60584,0.00,46.61,19.65,4.30,20.72,33.30,5.65,7.46,44.15,5.64,7.21
A9009za,01yr,Zone,56531,0.00,91.84,61.73,26.37,1.69,33.21,17.13,25.82,13.94,21.06,14.09
A9009za,05yrs,Zone,56531,0.00,91.84,61.73,26.37,1.69,33.21,17.13,25.82,13.94,21.06,14.09
A9009za,10yrs,Zone,56531,0.00,91.84,61.73,26.37,1.69,31.58,16.86,27.23,14.32,23.33,16.67
A9010za,01yr,Zone,58112,1.09,16.42,5.86,2.02,6.94,14.74,5.17,2.52,71.14,2.44,2.28
A9010za,05yrs,Zone,58112,1.09,16.42,5.86,2.02,6.94,14.74,5.17,2.52,71.14,2.44,2.28
A9010za,10yrs,Zone,58112,1.09,16.42,5.86,2.02,6.94,15.45,4.26,3.52,68.22,3.70,3.05
A9011za,01yr,Zone,56126,15.81,30.62,10.24,10.88,7.15,10.67,13.04,8.02,31.37,9.25,6.40
A9011za,05yrs,Zone,56126,15.81,30.62,10.24,10.88,7.15,10.67,13.04,8.02,31.37,9.25,6.40
A9011za,10yrs,Zone,56126,15.81,30.62,10.24,10.88,7.15,11.12,11.14,8.47,30.88,8.83,7.26
