GeoID,Sex,Cancer,Years,PopTot,Cases,AAIR,LCI,UCI,W_PopTot,W_Cases,W_AAIR,W_LCI,W_UCI,B_PopTot,B_Cases,B_AAIR,B_LCI,B_UCI,H_PopTot,H_Cases,H_AAIR,H_LCI,H_UCI,API_PopTot,API_Cases,API_AAIR,API_LCI,API_UCI,AIAN_PopTot,AIAN_Cases,AIAN_AAIR,AIAN_LCI,AIAN_UCI,GeoName,GeoType
A9140za,Female,HL,10yrs,272548,,,,,212771,,,,,12817,,,,,32081,,,,,14521,,,,,359,,,,,Monmouth 2,Zone
A9140za,Male,HL,10yrs,258656,,,,,202046,,,,,12361,,,,,31277,,,,,12690,,,,,283,,,,,Monmouth 2,Zone
A9141za,Both,HL,10yrs,652678,18,3.1,1.8,4.9,541182,,,,,15360,,,,,60440,,,,,35162,,,,,532,,,,,Hunterdon 2,Zone
A9141za,Female,HL,10yrs,332031,,,,,275484,,,,,7971,,,,,29562,,,,,18700,,,,,313,,,,,Hunterdon 2,Zone
A9141za,Male,HL,10yrs,320647,,,,,265698,,,,,7389,,,,,30878,,,,,16462,,,,,219,,,,,Hunterdon 2,Zone
A9142za,Both,HL,10yrs,747175,,,,,632141,,,,,17883,,,,,76610,,,,,19644,,,,,897,,,,,Sussex 2,Zone
A9142za,Female,HL,10yrs,375411,,,,,318385,,,,,8591,,,,,37307,,,,,10636,,,,,493,,,,,Sussex 2,Zone
A9142za,Male,HL,10yrs,371763,,,,,313757,,,,,9291,,,,,39303,,,,,9008,,,,,404,,,,,Sussex 2,Zone
A9143za,Both,HL,10yrs,680635,23,3.0,1.9,4.6,260369,,,,,110997,,,,,229262,,,,,78678,,,,,1328,,,,,Bergen 14,Zone
A9143za,Female,HL,10yrs,353366,,,,,134849,,,,,60270,,,,,116371,,,,,41151,,,,,726,,,,,Bergen 14,Zone
A9143za,Male,HL,10yrs,327268,,,,,125520,,,,,50728,,,,,112891,,,,,37527,,,,,602,,,,,Bergen 14,Zone
A9144za,Both,HL,10yrs,690103,26,3.6,2.4,5.4,386465,18,4.3,2.5,7.0,40664,,,,,117306,,,,,144718,,,,,950,,,,,Somerset 1,Zone
A9144za,Female,HL,10yrs,349867,,,,,197737,,,,,20293,,,,,57892,,,,,73563,,,,,381,,,,,Somerset 1,Zone
A9144za,Male,HL,10yrs,340236,,,,,188727,,,,,20371,,,,,59413,,,,,71155,,,,,569,,,,,Somerset 1,Zone
